Area,BHK,Bathroom,Furnishing,Location,District,Locality,Parking,Status,Transaction,Type,Price
950,2,2,Furnished,Karol Bagh,Central Delhi,"DDA MIG Flats Prasad Nagar Phase 2, Prasad Nagar, Karol Bagh",1,Ready_to_move,Resale,Apartment,12500000
535,2,1,Furnished,Karol Bagh,Central Delhi,"Dev Nagar, Karol Bagh",1,Ready_to_move,New_Property,Apartment,3900000
1280,3,3,Furnished,Karol Bagh,Central Delhi,Karol Bagh,2,Ready_to_move,Resale,Builder_Floor,15000000
1135,3,3,Furnished,Karol Bagh,Central Delhi,"The Amaryllis, Karol Bagh",2,Almost_ready,Resale,Apartment,25000000
1135,3,3,Furnished,Karol Bagh,Central Delhi,"The Amaryllis, Karol Bagh",2,Almost_ready,Resale,Apartment,25000000
1135,3,3,Furnished,Karol Bagh,Central Delhi,"The Amaryllis, Karol Bagh",2,Almost_ready,Resale,Apartment,25000000
1135,3,3,Furnished,Karol Bagh,Central Delhi,"The Amaryllis, Karol Bagh",2,Almost_ready,Resale,Apartment,24500000
900,3,2,Furnished,Okhla,East Delhi,"Abul Fazal Enclave Part-II, Okhla",1,Ready_to_move,Resale,Builder_Floor,5500000
312,4,4,Furnished,Laxmi Nagar,East Delhi,"Bank Enclave, Laxmi Nagar",1,Ready_to_move,Resale,Apartment,35000000
1500,3,3,Furnished,Vasundhara,East Delhi,"Capital Apartment, Vasundhara Enclave",2,Ready_to_move,Resale,Apartment,15000000
1000,3,2,Furnished,Dilshad Garden,East Delhi,"DDA Flats Block A, Dilshad Garden",1,Ready_to_move,Resale,Apartment,9200000
1700,3,2,Furnished,Dilshad Garden,East Delhi,"DDA Flats Block A, Dilshad Garden",1,Ready_to_move,Resale,Apartment,17000000
1000,3,3,Furnished,Dilshad Garden,East Delhi,"DDA Pocket I, Dilshad Garden",1,Ready_to_move,Resale,Apartment,9500000
900,2,2,Furnished,Dilshad Garden,East Delhi,"Dilshad Colony, Dilshad Garden",2,Ready_to_move,Resale,Builder_Floor,6900000
500,2,1,Furnished,Dilshad Garden,East Delhi,Dilshad Garden,1,Ready_to_move,Resale,Apartment,5800000
760,3,2,Furnished,Geeta Colony,East Delhi,Geeta Colony,1,Ready_to_move,Resale,Builder_Floor,6000000
810,5,6,Furnished,Geeta Colony,East Delhi,Geeta Colony,1,Ready_to_move,Resale,Apartment,28900000
976,2,2,Furnished,Okhla,East Delhi,"Godrej South Estate, Okhla",1,Ready_to_move,New_Property,Apartment,24900000
